Time,Flight Number,Source,Flight Name,Aircraft,Status
6:00 PM,6E361,Ahmedabad (AMD),IndiGo,A20N (VT-IVV),Departed 6:27 PM
6:00 PM,6E463,Bengaluru (BLR),IndiGo,A20N (VT-IVU),Departed 6:16 PM
6:10 PM,G8303,Chennai (MAA),GoAir,A20N (VT-WGK),Departed 6:34 PM
6:20 PM,6.00E+61,Dubai (DXB),IndiGo,A20N (VT-IVF),Departed 6:32 PM
6:20 PM,6E5342,Vadodara (BDQ),IndiGo,A320 (VT-IDY),Departed 6:30 PM
6:25 PM,SG251,Chennai (MAA),SpiceJet,B738 (VT-SGV),Departed 6:40 PM
6:30 PM,G8339,Delhi (DEL),GoAir,A20N (VT-WGX),Departed 6:51 PM
6:30 PM,I5335,Bengaluru (BLR),AirAsia,A320 (VT-MOD),Departed 7:41 PM
6:30 PM,SG415,Bengaluru (BLR),SpiceJet,B738 (VT-SZB),Departed 6:49 PM
6:30 PM,UK996,Delhi (DEL),Vistara,A320 (VT-TTE),Departed 6:54 PM
6:35 PM,I5344,Hyderabad (HYD),AirAsia,A320 (VT-BOM),Departed 6:37 PM
6:35 PM,9I651,Bhavnagar (BHU),Alliance Air,AT76 (VT-RKL),Departed 6:44 PM
6:40 PM,G8142,Nagpur (NAG),GoAir,A320 (VT-GOQ),Departed 6:56 PM
6:40 PM,6E5391,Chennai (MAA),IndiGo,A320 (VT-IGY),Departed 6:59 PM
6:45 PM,SG8158,Delhi (DEL),SpiceJet,B738 (VT-SLL),Departed 7:40 PM
6:45 PM,SG6236,Jaipur (JAI),SpiceJet,B738 (VT-SLG),Departed 6:42 PM
6:45 PM,6E439,Delhi (DEL),IndiGo,A20N (VT-ITA),Departed 7:14 PM
6:55 PM,6E755,Cochin (COK),IndiGo,A20N (VT-IJV),Departed 7:37 PM
7:00 PM,AI94,Chennai (MAA),Air India,A20N (VT-CIM),Departed 7:52 PM
7:00 PM,AI888,Delhi (DEL),Air India,A319 (VT-SCN),Departed 8:03 PM
7:00 PM,AI629,Nagpur (NAG),Air India,A319 (VT-SCR),Departed 7:11 PM
7:00 PM,AI652,Visakhapatnam (VTZ),Air India,A320 (VT-EXD),Departed 7:36 PM
7:00 PM,SG6245,Coimbatore (CJB),SpiceJet,B737 (VT-SLP),Departed 7:18 PM
7:05 PM,UK865,Bengaluru (BLR),Vistara,B738 (VT-TGI),Departed 7:49 PM
7:05 PM,6E628,Hyderabad (HYD),IndiGo,A320 (VT-IFS),Departed 7:08 PM
7:10 PM,EK503,Dubai (DXB),Emirates,B77W (A6-EBI),Departed 7:44 PM
7:10 PM,G82607,Jaipur (JAI),GoAir,A20N (VT-WGR),Departed 7:21 PM
7:15 PM,6E799,Bengaluru (BLR),IndiGo,A20N (VT-ITO),Departed 7:24 PM
7:15 PM,6E5319,Coimbatore (CJB),IndiGo,A320 (VT-IFJ),Departed 7:28 PM
7:20 PM,UK875,Hyderabad (HYD),Vistara,A320 (VT-TTD),Departed 7:34 PM
7:25 PM,G8364,Ahmedabad (AMD),GoAir,A20N (VT-WGJ),Departed 7:54 PM
7:25 PM,6.00E+225,Indore (IDR),IndiGo,A21N (VT-IUD),Departed 7:48 PM
7:25 PM,6E6446,Lucknow (LKO),IndiGo,A20N (VT-ITB),Departed 8:00 PM
7:30 PM,6E675,Chennai (MAA),IndiGo,A320 (VT-IHJ),Departed 7:58 PM
7:30 PM,6E1825,Riyadh (RUH),IndiGo,A320 (VT-IFV),Departed 7:57 PM
7:35 PM,G82610,Lucknow (LKO),GoAir,A20N (VT-WGZ),Departed 7:43 PM
7:40 PM,SG487,Kolkata (CCU),SpiceJet,B738 (VT-SYA),Departed 7:53 PM
7:45 PM,UK940,Delhi (DEL),Vistara,A20N (VT-TNR),Departed 8:24 PM
7:50 PM,AI983,Dubai (DXB),Air India,A321 (VT-PPL),Departed 8:12 PM
