TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
7:15 PM,6E5319,Coimbatore (CJB),IndiGo,A320 (VT-IGS),Departed 8:08 PM
7:15 PM,9I651,Bhavnagar (BHU),Alliance Air,AT76 (VT-RKG),Departed 7:44 PM
7:20 PM,UK875,Hyderabad (HYD),Vistara,A20N (VT-TNI),Departed 7:46 PM
7:25 PM,G8364,Ahmedabad (AMD),GoAir,A320 (VT-GOP),Departed 8:35 PM
7:25 PM,6.00E+225,Indore (IDR),IndiGo,A21N (VT-IUL),Departed 7:41 PM
7:25 PM,6E6446,Lucknow (LKO),IndiGo,A320 (VT-IEX),Departed 8:01 PM
7:30 PM,6E675,Chennai (MAA),IndiGo,A20N (VT-IVN),Departed 8:55 PM
7:30 PM,6E1825,Riyadh (RUH),IndiGo,A320 (VT-IFQ),Departed 8:13 PM
7:35 PM,G82610,Lucknow (LKO),GoAir,A20N (VT-WGK),Departed 9:28 PM
7:40 PM,SG487,Kolkata (CCU),SpiceJet,B738 (VT-SYA),Departed 8:16 PM
7:45 PM,UK940,Delhi (DEL),Vistara,A20N (VT-TNJ),Departed 9:39 PM
7:50 PM,AI983,Dubai (DXB),Air India,A321 (VT-PPD),Departed 8:38 PM
7:50 PM,SG68,Jeddah (JED),SpiceJet,B738 (VT-SLN),Departed 8:53 PM
7:55 PM,SG6249,Mangalore (IXE),SpiceJet,B738 (VT-SYB),Departed 9:14 PM
7:55 PM,6E998,Jaipur (JAI),IndiGo,A320 (VT-IGH),Departed 8:50 PM
7:55 PM,6E5332,Bengaluru (BLR),IndiGo,A20N (VT-IZC),Departed 9:05 PM
8:00 PM,AI310,Delhi (DEL),Air India,A20N (VT-CIO),Departed 8:34 PM
8:00 PM,NH830,Tokyo (NRT),All Nippon Airways,B789 (JA839A),Departed 9:00 PM
8:00 PM,6E639,Ahmedabad (AMD),IndiGo,A320 (VT-IHC),Departed 9:14 PM
8:00 PM,6E841,Delhi (DEL),IndiGo,A320 (VT-IFF),Departed 9:26 PM
8:05 PM,6.00E+254,Hyderabad (HYD),IndiGo,A320 (VT-IEE),Departed 8:45 PM
8:05 PM,6E1719,Doha (DOH),IndiGo,A320 (VT-IFI),Departed 9:02 PM
8:10 PM,6E5307,Chennai (MAA),IndiGo,A20N (VT-IVJ),Departed 9:07 PM
8:20 PM,6E949,Bengaluru (BLR),IndiGo,A320 (VT-IKE),Departed 9:16 PM
8:25 PM,G8341,Delhi (DEL),GoAir,A320 (VT-GON),Departed 9:10 PM
8:25 PM,SG6920,Delhi (DEL),SpiceJet,B738 (VT-SYW),Departed 9:21 PM
8:25 PM,6.00E+129,Kozhikode (CCJ),IndiGo,A320 (VT-IAY),Departed 9:34 PM
8:30 PM,AI619,Hyderabad (HYD),Air India,A319 (VT-SCP),Departed 10:11 PM
8:30 PM,AI774,Kolkata (CCU),Air India,A319 (VT-SCB),Departed 10:09 PM
8:30 PM,6E5153,Kolkata (CCU),IndiGo,A320 (VT-INZ),Departed 9:30 PM
8:30 PM,6E5377,Nagpur (NAG),IndiGo,A20N (VT-IVZ),Departed 9:31 PM
8:40 PM,6.00E+81,Muscat (MCT),IndiGo,A320 (VT-IHM),Departed 9:12 PM
8:45 PM,UL144,Colombo (CMB),SriLankan Airlines,A320 (4R-MRE),Departed 9:19 PM
8:50 PM,SG6476,Cochin (COK),SpiceJet,B738 (VT-SYF),Departed 9:24 PM
8:55 PM,UK988,Delhi (DEL),Vistara,A320 (VT-TTE),Departed 10:22 PM
8:55 PM,6.00E+248,Delhi (DEL),IndiGo,A320 (VT-IFX),Departed 9:48 PM
8:55 PM,6E6433,Ahmedabad (AMD),IndiGo,A320 (VT-IEV),Departed 9:45 PM
9:00 PM,AI101,Delhi (DEL),Air India,B77W (VT-ALT),Departed 9:32 PM
9:00 PM,AI683,Goa (GOI),Air India,A20N (VT-EXG),Departed 9:43 PM
9:00 PM,G8398,Bengaluru (BLR),GoAir,A320 (VT-GOM),Departed 9:37 PM
9:00 PM,UK827,Chennai (MAA),Vistara,B738 (VT-TGG),Departed 9:50 PM
9:05 PM,UK857,Bengaluru (BLR),Vistara,B738 (VT-TGI),Departed 9:59 PM
9:10 PM,EY203,Abu Dhabi (AUH),Etihad,A321 (A6-AEB),Departed 9:41 PM
9:10 PM,SG19,Riyadh (RUH),SpiceJet,B738 (VT-SZM),Departed 10:35 PM
9:10 PM,SG8170,Delhi (DEL),SpiceJet,B737 (VT-SYO),Departed 9:57 PM
9:15 PM,G8643,Delhi (DEL),GoAir,A20N (VT-WJL),Departed 10:19 PM
9:20 PM,SG6439,Goa (GOI),SpiceJet,B737 (VT-SYU),Departed 10:37 PM
9:20 PM,6E5396,Cochin (COK),IndiGo,A320 (VT-IFU),Departed 10:14 PM
9:25 PM,G9402,Sharjah (SHJ),Air Arabia,A320 (A6-AOE),Departed 10:04 PM
9:25 PM,6E6313,Coimbatore (CJB),IndiGo,A320 (VT-IHT),Departed 10:06 PM
9:30 PM,SG6364,Hyderabad (HYD),SpiceJet,B738 (VT-SLJ),Departed 10:40 PM
9:30 PM,6.00E+234,Hyderabad (HYD),IndiGo,A320 (VT-IDT),Departed 10:25 PM
9:30 PM,6E1794,Bangkok (BKK),IndiGo,A320 (VT-IFL),Departed 10:17 PM
9:35 PM,GF65,Bahrain (BAH),Gulf Air,A321 (A9C-CB),Departed 9:54 PM
9:35 PM,6E907,Chennai (MAA),IndiGo,A20N (VT-IVC),Departed 10:30 PM
9:40 PM,SG6352,Bengaluru (BLR),SpiceJet,B738 (VT-SYX),Departed 11:01 PM
