Time,Flight Number,Destination,Flight Name,Aircraft,Status
7:35 PM,G82610,Lucknow (LKO),GoAir,A20N (VT-WGQ),Departed 8:15 PM
7:40 PM,SG487,Kolkata (CCU),SpiceJet,B738 (VT-SYG),Departed 8:49 PM
7:45 PM,UK940,Delhi (DEL),Vistara,A320 (VT-TTB),Departed 8:41 PM
7:50 PM,AI983,Dubai (DXB),Air India,A321 (VT-PPK),Departed 8:33 PM
7:50 PM,SG68,Jeddah (JED),SpiceJet,B738 (VT-SLI),Departed 8:14 PM
7:55 PM,SG6249,Mangalore (IXE),SpiceJet,B738 (VT-SLG),Departed 8:36 PM
7:55 PM,UK843,Goa (GOI),Vistara,A20N (VT-TNE),Departed 8:10 PM
7:55 PM,6E998,Jaipur (JAI),IndiGo,A320 (VT-IKC),Departed 8:29 PM
7:55 PM,6E5332,Bengaluru (BLR),IndiGo,A20N (VT-ITF),Departed 8:08 PM
8:00 PM,AI314,Delhi (DEL),Air India,A20N (VT-CID),Departed 8:39 PM
8:00 PM,NH830,Tokyo (NRT),All Nippon Airways,B789 (JA837A),Departed 8:52 PM
8:00 PM,6E639,Ahmedabad (AMD),IndiGo,A20N (VT-IVN),Departed 9:24 PM
8:00 PM,6E841,Delhi (DEL),IndiGo,A20N (VT-IVY),Departed 8:19 PM
8:05 PM,AI609,Bengaluru (BLR),Air India,A319 (VT-SCF),Departed 9:27 PM
8:05 PM,6.00E+254,Hyderabad (HYD),IndiGo,A320 (VT-IFO),Departed 10:53 PM
8:05 PM,6E1719,Doha (DOH),IndiGo,A320 (VT-IFZ),Departed 8:26 PM
8:10 PM,6E5307,Chennai (MAA),IndiGo,A20N (VT-IZW),Departed 9:07 PM
8:20 PM,6E949,Bengaluru (BLR),IndiGo,A320 (VT-IFE),Departed 9:00 PM
8:25 PM,G8341,Delhi (DEL),GoAir,A320 (VT-GOK),Departed 9:39 PM
8:25 PM,SG6920,Delhi (DEL),SpiceJet,B738 (VT-SYJ),Departed 10:01 PM
8:25 PM,6.00E+129,Kozhikode (CCJ),IndiGo,A320 (VT-IFP),Departed 8:46 PM
8:30 PM,6E5153,Kolkata (CCU),IndiGo,A20N (VT-IJK),Departed 9:12 PM
8:30 PM,6E5377,Nagpur (NAG),IndiGo,A20N (VT-IZK),Departed 10:57 PM
8:40 PM,6.00E+81,Muscat (MCT),IndiGo,A320 (VT-IEB),Departed 9:23 PM
8:45 PM,UL144,Colombo (CMB),SriLankan Airlines,A320 (4R-ABL),Departed 9:20 PM
8:50 PM,SG6476,Cochin (COK),SpiceJet,B738 (VT-SYW),Departed 9:31 PM
8:55 PM,UK988,Delhi (DEL),Vistara,A320 (VT-TTJ),Departed 9:36 PM
8:55 PM,6.00E+248,Delhi (DEL),IndiGo,A320 (VT-IEW),Departed 10:18 PM
8:55 PM,6E6433,Ahmedabad (AMD),IndiGo,A320 (VT-IEO),Departed 9:59 PM
9:00 PM,AI101,Delhi (DEL),Air India (Celebrating India Livery),B77W (VT-ALN),Departed 9:42 PM
9:00 PM,AI652,Visakhapatnam (VTZ),Air India,A20N (VT-CIE),Departed 9:38 PM
9:00 PM,AI683,Goa (GOI),Air India,A321 (VT-PPB),Departed 10:26 PM
9:00 PM,AI774,Kolkata (CCU),Air India,A319 (VT-SCC),Departed 9:56 PM
9:00 PM,G8398,Bengaluru (BLR),GoAir,A20N (VT-WGI),Departed 9:47 PM
9:00 PM,UK827,Chennai (MAA),Vistara,B738 (VT-TGE),Departed 9:50 PM
9:05 PM,UK857,Bengaluru (BLR),Vistara,B738 (VT-TGI),Departed 10:07 PM
9:10 PM,EY203,Abu Dhabi (AUH),Etihad,A320 (A6-EIN),Departed 10:31 PM
9:10 PM,SG19,Riyadh (RUH),SpiceJet,B738 (VT-SGY),Departed 9:45 PM
9:10 PM,SG8170,Delhi (DEL),SpiceJet,B737 (VT-SYP),Departed 9:51 PM
9:10 PM,SV773,Jeddah (JED),Saudia,B77W (HZ-AK17),Departed 9:54 PM
9:15 PM,G8643,Delhi (DEL),GoAir,A20N (VT-WGX),Departed 10:42 PM
9:20 PM,SG6439,Goa (GOI),SpiceJet,B737 (VT-SYO),Departed 10:16 PM
9:20 PM,6E5396,Cochin (COK),IndiGo,A320 (VT-IDQ),Departed 10:04 PM
9:25 PM,G9402,Sharjah (SHJ),Air Arabia,A320 (A6-ANX),Departed 10:10 PM
9:25 PM,6E6313,Coimbatore (CJB),IndiGo,A20N (VT-IZT),Departed 10:11 PM
9:30 PM,SG6364,Hyderabad (HYD),SpiceJet,B738 (VT-SLL),Departed 10:21 PM
9:30 PM,6.00E+234,Hyderabad (HYD),IndiGo,A20N (VT-IVI),Departed 10:28 PM
9:30 PM,6E1794,Bangkok (BKK),IndiGo,A320 (VT-IFV),Departed 11:14 PM
9:35 PM,GF65,Bahrain (BAH),Gulf Air,A321 (A9C-CF),Departed 10:13 PM
9:35 PM,6E907,Chennai (MAA),IndiGo,A20N (VT-IZZ),Departed 10:24 PM
9:40 PM,SG6352,Bengaluru (BLR),SpiceJet,B738 (VT-SXC),Departed 11:05 PM
