Time,FlightNumber,Source,Flight Name,Aircraft,Status
2:20 PM,QR8602,Doha (DOH),Qatar Cargo,A332 (A7-AFI),Landed 2:03 PM
2:20 PM,SG2872,Jabalpur (JLR),SpiceJet,DH8D (VT-SQC),Landed 2:13 PM
2:25 PM,6.00E+29,Singapore (SIN),IndiGo,A320 (VT-IFU),Landed 1:45 PM
2:25 PM,6E6097,Goa (GOI),IndiGo,A320 (VT-INS),Landed 2:30 PM
2:30 PM,6E917,Chennai (MAA),IndiGo,A20N (VT-ITV),Landed 2:15 PM
2:30 PM,6E1767,Kuwait City (KWI),IndiGo,A320 (VT-IER),Landed 2:23 PM
2:30 PM,6E5374,Patna (PAT),IndiGo,A20N (VT-ITX),Landed 2:44 PM
2:30 PM,9I624,Diu (DIU),Alliance Air,AT76 (VT-RKG),Landed 2:55 PM
2:35 PM,G8478,Goa (GOI),GoAir,A20N (VT-WGF),Landed 2:10 PM
2:35 PM,6E414,Bengaluru (BLR),IndiGo,A20N (VT-IVE),Landed 2:46 PM
2:40 PM,6.00E+264,Varanasi (VNS),IndiGo,A20N (VT-IVC),Landed 2:37 PM
2:40 PM,UK842,Goa (GOI),Vistara,B738 (VT-TGE),Landed 2:35 PM
2:55 PM,SG454,Goa (GOI),SpiceJet,B739 (VT-SPU),Landed 2:42 PM
3:00 PM,6E5304,Jodhpur (JDH),IndiGo,A20N (VT-IZD),Landed 3:06 PM
3:05 PM,EY208,Abu Dhabi (AUH),Etihad,A321 (A6-AEE),Landed 2:33 PM
3:05 PM,6E6175,Siliguri (IXB),IndiGo,A20N (VT-IZA),Landed 2:49 PM
3:10 PM,UK993,Delhi (DEL),Vistara,A320 (VT-TTJ),Landed 2:59 PM
3:15 PM,6E678,Lucknow (LKO),IndiGo,A20N (VT-IVS),Landed 3:20 PM
3:15 PM,6E5389,Nagpur (NAG),IndiGo,A320 (VT-IDY),Landed 2:58 PM
3:15 PM,SG6281,Jaipur (JAI),SpiceJet,B737 (VT-SYU),Landed 2:40 PM
3:20 PM,6E486,Vadodara (BDQ),IndiGo,A320 (VT-IEE),Landed 3:02 PM
3:20 PM,2T718,Kolhapur (KLH),Trujet,AT75 (VT-TMK),Unknown
3:30 PM,SG6481,Guwahati (GAU),SpiceJet,B738 (VT-SYZ),Landed 3:24 PM
3:35 PM,6.00E+257,Bhubaneswar (BBI),IndiGo,A320 (VT-IAN),Landed 3:18 PM
3:40 PM,G824,Male (MLE),GoAir,A20N (VT-WJE),Landed 4:25 PM
