TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
10:25 PM,G8247,Bhubaneswar (BBI),GoAir,A20N (VT-WGF),Landed 10:21 PM
10:25 PM,G82507,Chandigarh (IXC),GoAir,A320 (VT-WAL),Landed 10:23 PM
10:25 PM,MH194,Kuala Lumpur (KUL),Malaysia Airlines,A333 (9M-MTG),Landed 10:36 PM
10:25 PM,6E6176,Kolkata (CCU),IndiGo,A20N (VT-IVZ),Landed 10:29 PM
10:30 PM,AI962,Nairobi (NBO),Air India,B788 (VT-ANT),Landed 9:49 PM
10:30 PM,I5331,Hyderabad (HYD),AirAsia,A320 (VT-SIN),Landed 11:00 PM
10:30 PM,LX154,Zurich (ZRH),Swiss,A333 (HB-JHM),Landed 10:48 PM
10:35 PM,DL24,New York (JFK),Delta Air Lines,B77L (N704DK),Landed 9:59 PM
10:35 PM,IX248,Dubai (DXB),Air India Express (Red Fort/Gwalior Fort Livery),B738 (VT-AXJ),Landed 10:14 PM
10:35 PM,SG377,Patna (PAT),SpiceJet,B738 (VT-SYC),Landed 10:46 PM
10:35 PM,UK824,Chennai (MAA),Vistara,B738 (VT-TGE),Landed 10:38 PM
10:45 PM,SG456,Bengaluru (BLR),SpiceJet,B738 (VT-SYY),Landed 10:56 PM
10:45 PM,SG8705,Delhi (DEL),SpiceJet,737,Unknown
10:50 PM,AI343,Singapore (SIN),Air India,A20N (VT-EXP),Landed 11:21 PM
10:50 PM,UK953,Delhi (DEL),Vistara,A20N (VT-TNS),Landed 12:35 AM
10:55 PM,UK876,Hyderabad (HYD),Vistara,A20N (VT-TNF),Landed 11:11 PM
11:00 PM,G826,Bangkok (BKK),GoAir,A20N (VT-WJB),Landed 10:57 PM
11:00 PM,I5334,Bengaluru (BLR),AirAsia,A320 (VT-IMP),Landed 11:23 PM
11:00 PM,6.00E+185,Delhi (DEL),IndiGo,A320 (VT-INY),Landed 10:44 PM
11:05 PM,AI630,Nagpur (NAG),Air India,A319 (VT-SCP),Landed 10:30 PM
11:05 PM,SG252,Chennai (MAA),SpiceJet,B738 (VT-SXB),Landed 11:28 PM
11:10 PM,AI191,Delhi (DEL),Air India,B788 (VT-ANO),Landed 11:17 PM
11:10 PM,I5482,Delhi (DEL),AirAsia,A320 (VT-IXR),Landed 12:24 AM
11:15 PM,PG733,Bangkok (BKK),Bangkok Airways (Shopee Livery),A320 (HS-PPD),Landed 10:50 PM
11:25 PM,AI632,Bhopal (BHO),Air India,A20N (VT-CIQ),Landed 11:08 PM
11:25 PM,SG6237,Jaipur (JAI),SpiceJet,B738 (VT-SXC),Landed 11:17 PM
11:25 PM,UK866,Bengaluru (BLR),Vistara,B738 (VT-TGI),Landed 11:25 PM
11:30 PM,AI51,Hyderabad (HYD),Air India,A319 (VT-SCN),Landed 1:46 AM
11:40 PM,SG6248,Coimbatore (CJB),SpiceJet,B737 (VT-SLP),Landed 2:27 AM
11:40 PM,SQ426,Singapore (SIN),Singapore Airlines,B772 (9V-SVC),Landed 11:33 PM
11:40 PM,6E6794,Bengaluru (BLR),IndiGo,A320 (VT-IKI),Landed 11:37 PM
11:45 PM,SG489,Kolkata (CCU),SpiceJet,B737 (VT-SYT),Landed 11:49 PM
11:45 PM,SG612,Chennai (MAA),SpiceJet,B737 (VT-SLA),Landed 11:53 PM
11:45 PM,SG6250,Mangalore (IXE),SpiceJet,B738 (VT-SYD),Landed 12:30 AM
11:50 PM,AI732,Patna (PAT),Air India,A20N (VT-EXT),Landed 1:49 AM
11:50 PM,G8429,Delhi (DEL),GoAir,A20N (VT-WJR),Landed 11:31 PM
11:50 PM,SG8159,Delhi (DEL),SpiceJet,B738 (VT-SGG),Landed 12:29 AM
11:50 PM,UK981,Delhi (DEL),Vistara,A320 (VT-TTI),Landed 12:13 AM
11:55 PM,LH766,Munich (MUC),Lufthansa,A359 (D-AIXD),Landed 12:12 AM
11:55 PM,UK774,Kolkata (CCU),Vistara,B738 (VT-TGD),Landed 11:44 PM
11:55 PM,6E6183,Chennai (MAA),IndiGo,A320 (VT-IFD),Landed 11:51 PM
11:59 PM,SG638,Ahmedabad (AMD),SpiceJet,B737 (VT-SYP),Landed 11:46 PM
